logFC	AveExpr	t	P.Value	adj.P.Val	B
LILRB4	3.63265619047619	6.1231847826087	5.91163643059266	4.93375038479573e-07	3.18306476438434e-06	6.10015737695311
LMNB1	1.3798980952381	8.80481739130435	5.87665216586043	5.54605561563351e-07	3.52687237707036e-06	5.98637699458344
NFKBIA	1.72082571428572	9.82654347826087	5.87617966728683	5.55482399388582e-07	3.52687237707036e-06	5.98484066515785
PTPN6	2.39232380952381	5.8892847826087	5.86546849626092	5.75734642557744e-07	3.62667491374957e-06	5.95001618435719
MEF2C	-1.39942976190476	10.0023326086957	-5.84690213024782	6.12598050581942e-07	3.82873781613714e-06	5.88966609529876
DDB2	1.5321530952381	7.83608913043478	5.84146720975975	6.23827610792149e-07	3.84663467839386e-06	5.87200315640627
IRF1	2.39287952380953	6.04145652173913	5.8408680209869	6.25078135239003e-07	3.84663467839386e-06	5.87005594697927
SLFN11	2.05813619047619	6.24499347826087	5.83824067873006	6.30591037474974e-07	3.85093763343495e-06	5.8615179799846
OPTN	1.08947190476191	10.9447260869565	5.83454374006418	6.38430413566537e-07	3.86927523373659e-06	5.84950479797429
CLIC4	1.59222095238096	9.22021086956522	5.82659002542855	6.55627115335003e-07	3.94362174637596e-06	5.82366168213417
ITGAV	1.54366190476191	10.1782	5.80606020790938	7.02177943407262e-07	4.18547952612433e-06	5.75697215081692
XRCC6	-1.50366595238095	9.95251086956522	-5.8043082928425	7.06299670033481e-07	4.18547952612433e-06	5.7512822594021
CNN2	1.95721452380953	5.86911086956522	5.78802965926819	7.45769713600077e-07	4.38688066823575e-06	5.69842055873414
EEF2K	1.33702928571429	8.64839565217391	5.77864684910576	7.6951019682307e-07	4.49349020042668e-06	5.66795858916862
SUMO1	-1.81236595238095	8.36339565217391	-5.77525421552862	7.7827833964658e-07	4.51175849070481e-06	5.65694542165599
EBI3	2.41424976190476	5.4233	5.77123036526633	7.88806940163846e-07	4.53989605849695e-06	5.64388407646521
CD74	3.09125976190476	9.46875217391304	5.76516013266315	8.04959039259183e-07	4.59760412249442e-06	5.62418202893552
HPRT1	-2.37403047619047	10.5404956521739	-5.76316932494974	8.10327726589642e-07	4.59760412249442e-06	5.617720978856
OGG1	1.40079738095238	6.9432152173913	5.75696570696068	8.2728703751178e-07	4.66077204231989e-06	5.59758903173705
MERTK	1.74704095238095	8.62954347826087	5.75349003859008	8.36942771934409e-07	4.68219732550718e-06	5.58631083313451
ATP6V1A	-2.14880595238095	11.3062065217391	-5.74279040726702	8.67377557700428e-07	4.81876420944682e-06	5.55159625362046
KMT2A	1.13911666666667	10.6407173913043	5.73290404040481	8.96477647062627e-07	4.94126948302043e-06	5.51952662694564
CD14	2.93990214285714	7.69793913043478	5.68194068211046	1.0626324540102e-06	5.78303376332083e-06	5.35431128461373
RAD17	-1.22222095238095	7.56365217391304	-5.67412130389327	1.09070649279559e-06	5.86335246400719e-06	5.32897759430395
